name,category,slug,description,meta_title,meta_description,image_file
"Центры и переходные втулки шпиндельной бабки для станков 1М65, 1Н65, ДИП500",1,tsentry-i-perehodnye-vtulki-shpindelnoy-babki-dlya-stankov-1m65-1n65-dip500,"Назначение
Станочная оснастка для тяжелых станков: центры (упорные и вращающиеся) и переходные втулки для шпинделя с конусом Морзе или метрическим конусом. Предназначены для центровки и закрепления крупногабаритных заготовок на станках моделей 1М65, 1Н65 и ДИП500. Изготовлены из легированной стали с закалкой рабочих поверхностей для обеспечения длительного срока службы при работе с тяжелыми деталями.

Технические характеристики
• Тип центров: Вращающиеся (подшипниковые) или неподвижные (упорные)
• Материал: Сталь У8А, ХВГ или легированная сталь с цементацией
• Твердость рабочей части: HRC 58–62 (после закалки)
• Конус: Морзе 5, 6 или метрический конус 1:20
• Диаметр телец центров: 60–100 мм (в зависимости от типа)
• Переходные втулки: Конус Морзе 6/5 или 6/4 для шпинделя
• Точность: Класс точности А (высокий)
• Смазка: через каналы в корпусе (для вращающихся)

Конструкция и особенности
Центры вращающиеся имеют конструкцию с подшипниками качения, обеспечивающими вращение с минимальным трением при закрепленной заготовке. Неподвижные (упорные) центра изготавливаются с твердосплавной вставкой для повышенной износостойкости. Переходные втулки выполняются с двухсторонним конусом для установки инструмента с меньшим конусом в шпиндель станка. Все детали проходят контроль на отсутствие биения и соответствие конуса.

Условия эксплуатации
• Рабочая температура: от +10°C до +80°C
• Нагрузка: расчетная на вес заготовок до 5000 кг
• Смазка: регулярная смазка подшипников вращающихся центров
• Проверка: контроль биения центра при установке
• Особенности: хранение в смазанном виде, защита от ударов

Преимущества
✅ Оригинальная конструкция для станков 1М65 и 1Н65
✅ Закалка рабочих поверхностей HRC 58–62
✅ Подшипники качения для вращающихся моделей
✅ Твердосплавные вставки в упорных центрах
✅ Точное соответствие конуса Морзе
✅ Гарантия качества 12 месяцев со дня отгрузки

Примечание
При заказе указывайте тип (вращающийся или упорный), конус (Морзе 5 или 6) и диаметр телец. Для переходных втулок укажите конус шпинделя станка и необходимый конус для инструмента. Рекомендуется использование центров вращающихся для длинных деталей при высоких оборотах.","Центры и переходные втулки шпиндельной бабки для станков 1М65, 1Н65, ДИП500",Купить центры и втулки для задней бабки токарного станка 1Н65 (ДИП-500). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Шарико-винтовая пара (ШВП) 2С132ПМФ2.36.000,1,shariko-vintovaya-para-shvp-2s132pmf2-36-000-3,"Назначение
Шарико-винтовая пара 2С132ПМФ2.36.000 — прецизионный узел для подачи инструмента токарного станка с ЧПУ модели 2С132ПМФ2. Преобразует вращательное движение серводвигателя в точное линейное перемещение с высокой повторяемостью позиционирования.

Технические характеристики
• Артикул: 2С132ПМФ2.36.000
• Конструкция: винт + гайка с шариковым возвратом
• Материал винта: Сталь инструментальная (ШХ15 или аналог)
• Термообработка: Закалка беговых дорожек (HRC 60–65), шлифование
• Класс точности: C5–C7 (по ГОСТ)
• Люфт: ≤ 0.1 мм
• Ресурс: 15000–30000 км пробега

Конструкция и особенности
Винт выполнен с прецизионным шлифованным профилем резьбы. Шарики обеспечивают низкий коэффициент трения (0,003–0,005). Гайка оснащена системой рециркуляции шариков по внешним трубкам.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: ЦИАТИМ-201 или аналог, замена каждые 500 ч
• Защита: обязательна защита от стружки и СОЖ

Преимущества
✅ Высокая точность позиционирования
✅ Низкий коэффициент трения — экономия энергии
✅ Длительный ресурс работы
✅ Совместимость с ЧПУ станком
✅ Гарантия качества 6 мес

Примечание
При монтаже обеспечьте соосность опор вала. Защита от попадания стружки обязательна.",Шарико-винтовая пара (ШВП) 2С132ПМФ2.36.000 для привода подачи станка 2С132ПМФ2,Купить шарико-винтовую пару 2С132ПМФ2.36.000 для привода подачи токарного станка 2С132ПМФ2. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Шарико-винтовая пара (ШВП) 16М30Ф3.57.000,1,shariko-vintovaya-para-shvp-16m30f3-57-000-2,"Назначение
Шарико-винтовая пара (ШВП) 16М30Ф3.57.000 — прецизионный узел привода подачи токарного станка с ЧПУ 16М30Ф3. Преобразует вращательное движение серводвигателя в точное линейное перемещение суппорта с минимальными потерями на трение. Обеспечивает высокую точность позиционирования, повторяемость перемещений и длительный ресурс работы в условиях интенсивной эксплуатации.

Технические характеристики
• Артикул: 16М30Ф3.57.000
• Конструкция: винт + гайка с шариковым возвратом
• Материал винта: Сталь инструментальная (ШХ15 или аналог)
• Термообработка: Закалка беговых дорожек, шлифование профиля резьбы
• Класс точности: по согласованию (С3–С5)
• Диаметр и шаг: по чертежу завода-изготовителя
• Предварительный натяг: регулируемый

Конструкция и особенности
Винт выполнен с прецизионным шлифованным профилем резьбы, обеспечивающим минимальный люфт и высокую повторяемость позиционирования. Шарики обеспечивают перекатывание вместо скольжения, что снижает коэффициент трения до 0,003–0,005 и исключает «прилипание» при старте движения. Гайка оснащена системой возврата шариков по внешнему каналу. Конструкция допускает регулировку предварительного натяга для компенсации износа в процессе эксплуатации.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: пластичная смазка ЦИАТИМ-201 или аналог, замена каждые 500 ч
• Периодичность контроля: проверка люфта и плавности хода при каждом ТО
• Особенности: защита от попадания стружки и СОЖ обязательна

Преимущества
✅ Прецизионное исполнение для станков с ЧПУ серии 16М30Ф3
✅ Шлифованные беговые дорожки — высокая точность позиционирования
✅ Низкий коэффициент трения — экономия энергии привода
✅ Регулируемый предварительный натяг — компенсация износа
✅ Полная взаимозаменяемость с оригинальным узлом
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе обязательно уточняйте диаметр винта, шаг резьбы, длину и класс точности. Рекомендуется замена ШВП в сборе (винт + гайка). При монтаже обеспечить соосность опор вала и отсутствие изгибных нагрузок на винт.",Шарико-винтовая пара (ШВП) 16М30Ф3.57.000 для суппорта станка 16М30Ф3,Купить шарико-винтовую пару 16М30Ф3.57.000 для суппорта токарного станка 16М30Ф3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
"Шарико-винтовая передача 16К30, 16М30",1,shariko-vintovaya-peredacha-16k30-16m30-3,"Назначение
Шарико-винтовая передача (ШВП) специально адаптирована для токарных станков с ЧПУ моделей 16К30, 16М30 и их модификаций. Преобразует вращательное движение серводвигателя в точное линейное перемещение инструмента с минимальными потерями на трение. Обеспечивает высокую точность позиционирования (±0.001 мм), быструю и надёжную смену инструментальных позиций в революрационной головке, длительный ресурс работы до 20000–50000 км пробега при интенсивной эксплуатации.

Технические характеристики
• Артикул: SHVP.16K30-16M30
• Конструкция: винт + гайка с шариковым возвратом и трубками рециркуляции
• Материал винта: Сталь инструментальная (ШХ15 или аналог)
• Термообработка: Закалка беговых дорожек HRC 60–65, шлифование профиля резьбы
• Диаметр винта: 16–32 мм (в зависимости от комплектации)
• Шаг резьбы: 2–5 мм
• Класс точности: C5–C7 (по ГОСТ Р 52240-2004)
• Люфт продольный: ≤ 0.1 мм
• Предварительный натяг: регулируемый, 5–15 кН
• Ресурс работы: 20000–50000 км пробега
• КПД: 90–95%

Конструкция и особенности
Винт выполнен с прецизионным шлифованным профилем резьбы, обеспечивающим минимальный люфт и высокую повторяемость позиционирования (±0.001 мм). Шарики обеспечивают перекатывание вместо скольжения, что снижает коэффициент трения до 0,003–0,005 и исключает «прилипание» при старте движения. Гайка оснащена системой возврата шариков по внешнему каналу и двумя трубками рециркуляции для бесперебойной работы. Конструкция допускает регулировку предварительного натяга для компенсации износа в процессе эксплуатации. Все компоненты прошли контроль качества и отполированы для минимизации вибраций.

Применение и область использования
• Осевое позиционирование инструмента в революрационной головке
• Быстрая и точная смена позиции инструмента (время позиционирования 0.8–1.2 сек)
• Микроперемещение резцового блока для компенсации износа режущего инструмента
• Прецизионное интерполирование по координатам X, Y, Z при обработке деталей
• Обработка деталей из стали, чугуна, цветных металлов в режиме непрерывного резания
• Фрезерование, сверление, шлифование и суперфиниширование на станках с ЧПУ

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Требования к смазке: пластичная смазка ЦИАТИМ-201 или аналог, замена каждые 500–1000 ч
• Периодичность контроля: проверка люфта, плавности хода и смазки при каждом ТО
• Защита: обязательна защита от попадания стружки и СОЖ (специальные гофры и колпаки)
• Особенности: защитные гофры входят в комплект, узлы концевых датчиков доступны отдельно

Комплектация
Стандартная поставка состоит из:
• Винт шарико-винтовой (обработанный, отполированный)
• Гайка шариковая с шариками
• Две трубки рециркуляции шариков
• Подшипники упорно-радиальные концевые (2 шт.)
• Уплотнители (сальники) защитные
• Гофры и защитные колпаки
• Монтажная схема и инструкция

По заказу дополнительно предоставляются:
• Опорные подушки (фиксированная или плавающая)
• Муфты соединительные упругие
• Фланцы монтажные под станок
• Смазка специальная для ШВП (консистентная ЦИАТИМ-201 или жидкая)
• Узлы концевых датчиков (в сборе)

Преимущества
✅ Высокая точность позиционирования ±0.001 мм — обеспечивает качество обработки на уровне мировых стандартов
✅ Низкий коэффициент трения 0,003–0,005 — экономия энергии привода и продление ресурса
✅ Универсальность — совместимо с 16К30, 16М30 и всеми модификациями (Ф3, Ф2)
✅ Быстрая смена инструмента за 0.8–1.2 сек — повышение производительности
✅ Регулируемый предварительный натяг — компенсация износа в процессе эксплуатации
✅ Заводское качество по оригинальным чертежам — полная взаимозаменяемость
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе обязательно уточняйте диаметр винта, шаг резьбы, длину и класс точности. Рекомендуется замена ШВП в сборе (винт + гайка + трубки рециркуляции). При монтаже обеспечить соосность опор вала и отсутствие изгибных нагрузок на винт. Защита от попадания стружки и СОЖ обязательна. При интенсивной эксплуатации смазку следует менять каждые 500 часов работы.","Шарико-винтовая передача 16К30, 16М30 для привода подачи станка 16К30",Купить шарико-винтовую пару для привода подачи токарного станка 16К30. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Шарико-винтовая пара (ШВП) 1П756ДФЗ.56.000,1,shariko-vintovaya-para-shvp-1p756dfz-56-000,"Назначение
ШВП 1П756ДФЗ.56.000 — прецизионный узел подачи станка с ЧПУ 1П756ДФ3.

Технические характеристики
• Артикул: 1П756ДФЗ.56.000
• Материал: Сталь инструментальная
• Термообработка: Закалка (HRC 60–65)
• Класс точности: C5–C7

Конструкция и особенности
Прецизионный винт с шариковой гайкой.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: ЦИАТИМ-201

Преимущества
✅ Высокая точность
✅ Низкое трение
✅ Гарантия качества 6 мес",Шарико-винтовая пара (ШВП) 1П756ДФЗ.56.000 для привода подачи станка 1П756ДФ3,Купить шарико-винтовую пару 1П756ДФЗ.56.000 для привода подачи токарного станка 1П756ДФ3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Шарико-винтовая пара (ШВП) 2С150ПМФ4.27.040,1,shariko-vintovaya-para-shvp-2s150pmf4-27-040,"Назначение
Шарико-винтовая пара 2С150ПМФ4.27.040 — прецизионный узел подачи токарного станка с ЧПУ 2С150ПМФ4. Преобразует вращательное движение в точное линейное перемещение.

Технические характеристики
• Артикул: 2С150ПМФ4.27.040
• Конструкция: винт + гайка с шариковым возвратом
• Материал: Сталь инструментальная (ШХ15)
• Термообработка: Закалка беговых дорожек (HRC 60–65)
• Класс точности: C5–C7
• Люфт: ≤ 0.1 мм

Конструкция и особенности
Прецизионный шлифованный профиль резьбы. Низкий коэффициент трения. Система рециркуляции шариков.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: ЦИАТИМ-201, замена каждые 500 ч
• Защита: обязательна защита от стружки

Преимущества
✅ Высокая точность позиционирования
✅ Низкое трение
✅ Длительный ресурс
✅ Гарантия качества 6 мес",Шарико-винтовая пара (ШВП) 2С150ПМФ4.27.040 для привода подачи станка 2С150ПМФ4,Купить шарико-винтовую пару 2С150ПМФ4.27.040 для привода подачи токарного станка 2С150ПМФ4. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
ШВП для разрывной машины (50х10мм),1,shvp-dlya-razryvnoy-mashiny-50h10mm,"Назначение
Шарико-винтовая пара (ШВП) 50х10 используется в приводных механизмах разрывных машин для обеспечения плавного и точного перемещения траверсы при нагружении образцов на растяжение и сжатие. Характеризуется высокой грузоподъемностью и жесткостью, что критично для получения достоверных результатов при статических и динамических испытаниях материалов. Обеспечивает синхронное перемещение с минимальным люфтом.

Технические характеристики
• Диаметр винта: 50 мм
• Шаг резьбы (ход): 10 мм
• Материал винта: Сталь конструкционная легированная (аналог 40Х или 38ХГЮ)
• Материал гайки: Бронза или сталь с бронзовыми вставками
• Термообработка винта: Закалка ТВЧ поверхности дорожек (HRC 58–62)
• Точность позиционирования: ±0,01 мм
• Максимальная нагрузка: до 50 тонн (в зависимости от длины и опор)
• Способ возврата шариков: внутренний или внешний замкнутый канал
• Класс точности: П5 или П7

Конструкция и особенности
Винт выполнен с закаленными беговыми дорожками для шариков методом ТВЧ, что обеспечивает высокую износостойкость при интенсивном использовании. Гайка комплектуется шарико-винтовым механизмом с системой преднатяга для исключения осевого люфта. Конструкция обеспечивает превращение вращательного движения электродвигателя в линейное перемещение траверсы с высокой точностью скорости подачи, что важно для соблюдения стандартов испытаний.

Условия эксплуатации
• Рабочая температура: от +10°C до +40°C
• Требования к смазке: непрерывная подача смазки через систему станка
• Защита: обязательное наличие защитного кожуха от пыли и образцов
• Проверка: контроль люфта каждые 1000 циклов нагружения
• Особенности: требует периодической проверки шариков на износ и деформацию

Преимущества
✅ Высокая нагрузочная способность для разрывных машин
✅ Точное позиционирование траверсы без люфтов
✅ Закаленные дорожки качения (ТВЧ) для долговечности
✅ Плавный ход без рывков и заеданий
✅ Стабильность показаний при статических испытаниях
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе указывайте общую длину винта, тип опор (с одной или двух сторон) и наличие системы защиты от пыли. Для разрывных машин с усилием более 30 тонн рекомендуется использование винта с двухсторонней опорой.",ШВП для разрывной машины (50х10мм),Купить шарико-винтовую пару для привода подачи токарного станка. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
ШВП для специальных станков с ЧПУ мод. 1740Ф3,1,shvp-dlya-spetsialnyh-stankov-s-chpu-mod-1740f3,"Назначение
Комплект шарико-винтовой передачи для специального станка 1740Ф3. ШВП преобразует вращательное движение привода в линейное перемещение суппорта с высокой точностью позиционирования, необходимой для обработки деталей по программе ЧПУ. Закаленные беговые дорожки качения обеспечивают минимальный коэффициент трения и полное отсутствие люфтов, что критично для получения точных размеров при серийном производстве.

Технические характеристики
• Диаметр винта: по чертежам завода (типово 40–50 мм)
• Шаг резьбы: 10 мм или 12 мм (по модификации)
• Материал винта: Сталь легированная (аналог 38ХГЮ или 40ХН)
• Термообработка: Закалка ТВЧ дорожек качения (HRC 60–62)
• Класс точности по ГОСТ: П3 или П5 (прецизионный)
• Шарики: Сталь ШХ15, класс точности 10 или 20
• Гайка: Сталь с бронзовыми вставками или полимерным композитом
• Максимальная длина винта: до 3000 мм (по заказу)
• Система преднатяга: механическая или шариковая

Конструкция и особенности
Винт изготовлен с закаленными участками для шариков методом индукционной закалки ТВЧ, что обеспечивает высокую поверхностную твердость при сохранении вязкой сердцевины. Гайка конструируется с двухсторонним возвратом шариков через внутренний канал с системой преднатяга для полного исключения зазора. Конструкция позволяет работать на высоких скоростях подачи (до 20–30 м/мин) при сохранении точности позиционирования ±0,005 мм, что соответствует классу точности станка 1740Ф3.

Условия эксплуатации
• Рабочая температура: от +10°C до +45°C
• Требования к смазке: постоянная подача смазки через систему станка
• Защита: наличие эластичных защитных чехлов от стружки
• Зазор: регулировка преднатяга каждые 2000 часов
• Особенности: требует тепловой стабилизации станка перед точной обработкой

Преимущества
✅ Класс точности П3–П5 для станков с ЧПУ
✅ Закаленные дорожки ТВЧ для длительного срока службы
✅ Отсутствие люфтов за счет системы преднатяга
✅ Высокие скорости подачи до 30 м/мин
✅ Точное позиционирование ±0,005 мм
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе указывайте полную длину винта, диаметр, шаг и тип опор (с одной или двух сторон). Для станков с ЧПУ рекомендуется использование винтов класса точности не ниже П5 с системой компенсации тепловых расширений.",ШВП для специальных станков с ЧПУ мод. 1740Ф3 для суппорта станка 1740Ф3,Купить шарико-винтовую пару для суппорта токарного станка 1740Ф3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Шарико-винтовая пара (ШВП) СВ141П.11.00,1,shariko-vintovaya-para-shvp-sv141p-11-00,"Назначение
Шарико-винтовая пара (ШВП) СВ141П.11.00 — прецизионный узел привода подачи токарного станка с ЧПУ СВ141П. Преобразует вращательное движение серводвигателя в точное линейное перемещение суппорта. Обеспечивает высокую точность позиционирования и длительный ресурс работы.

Технические характеристики
• Артикул: СВ141П.11.00
• Конструкция: винт + гайка с шариковым возвратом
• Материал винта: Сталь инструментальная (ШХ15 или аналог)
• Термообработка: Закалка беговых дорожек (HRC 60–65), шлифование
• Класс точности: C5–C7
• Люфт: ≤ 0.1 мм
• Ресурс: 15000–30000 км пробега

Конструкция и особенности
Винт выполнен с прецизионным шлифованным профилем резьбы. Шарики обеспечивают низкий коэффициент трения (0,003–0,005). Гайка оснащена системой рециркуляции шариков. Конструкция допускает регулировку предварительного натяга.

Условия эксплуатации
• Рабочая температура: от +5°C до +50°C
• Смазка: ЦИАТИМ-201 или аналог, замена каждые 500 ч
• Защита: обязательна защита от стружки и СОЖ

Преимущества
✅ Высокая точность позиционирования
✅ Низкое трение — экономия энергии
✅ Длительный ресурс работы
✅ Регулируемый натяг — компенсация износа
✅ Гарантия качества 6 мес

Примечание
При монтаже обеспечьте соосность опор вала. Защита от попадания стружки обязательна.",Шарико-винтовая пара (ШВП) СВ141П.11.00,Купить шарико-винтовую пару СВ141П.11.00 для суппорта токарного станка. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
Шарико-винтовая пара (ШВП) для станков с ЧПУ серии 1П756ДФ3,1,shariko-vintovaya-para-shvp-dlya-stankov-s-chpu-serii-1p756df3,"Назначение
Прецизионная шарико-винтовая пара для привода подач по осям X и Z станка 1П756ДФ3. ШВП обеспечивает высокую динамику и повторяемость позиционирования револьверной головки с точностью до микронов. Поставляется в сборе с гайкой, готовой к установке в корпус станка. Используется как для продольного перемещения, так и для поперечных подач суппорта.

Технические характеристики
• Диаметр винта: 32 мм или 40 мм (по осям X/Z)
• Шаг резьбы: 10 мм (стандартный)
• Материал винта: Сталь легированная с легированием хромом
• Термообработка: Индукционная закалка дорожек (HRC 58–62)
• Класс точности: П3 или П5 (прецизионные)
• Шарики: ШХ15, диаметр 6–8 мм, класс 10
• Гайка: Прецизионная с внутренним замкнутым каналом
• Преднатяг: регулируемый, с возможностью компенсации износа
• Максимальная скорость: до 20 м/мин

Конструкция и особенности
Винт имеет закаленные площадки для катания шариков, обработанные с точностью микронов. Гайка конструируется с двумя каналами для шариков и системой преднатяга, позволяющей полностью исключить обратный люфт. Возможна установка системы очистки шариков от стружки и пыли. Конструкция рассчитана на миллионы циклов перемещения без потери точности при соблюдении режимов смазки и защиты.

Условия эксплуатации
• Рабочая температура: от +15°C до +40°C
• Требования к смазке: автоматическая система смазки с фильтрацией
• Защита: уплотнения и защитные чехлы обязательны
• Преднатяг: проверка каждые 1500 часов работы
• Особенности: использование только чистого пластичного масла

Преимущества
✅ Класс точности П3 для прецизионной обработки
✅ Отсутствие люфтов за счет регулируемого преднатяга
✅ Закаленные дорожки для длительного срока службы
✅ Высокая скорость перемещения до 20 м/мин
✅ Повторяемость позиционирования ±0,003 мм
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе указывайте ось (X или Z), диаметр винта и общую длину. Для станков с ЧПУ рекомендуется использование только оригинальных ШВП с сертификатом качества. Запрещается работа без защитных чехлов и системы смазки.",Шарико-винтовая пара (ШВП) для станков с ЧПУ серии 1П756ДФ3 для суппорта станка 1П756ДФ3,Купить шарико-винтовую пару для суппорта токарного станка 1П756ДФ3. ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
"Шестерня коробки фрезерных станков 6Т12, 6Т13",1,shesternya-korobki-frezernyh-stankov-6t12-6t13,"Назначение
Зубчатое колесо (шестерня) для коробки скоростей или коробки подач фрезерных станков серии «Т» (6Т12, 6Т13) и их аналогов серии «Р». Изготовлена методом нарезания зуба с последующей цементацией и закалкой, что обеспечивает высокую твердость рабочих поверхностей при сохранении вязкой сердцевины. Полное соответствие заводским параметрам шума и плавности хода гарантирует сохранение точности станка после замены.

Технические характеристики
• Материал: Сталь легированная (20Х или аналог) для цементации
• Термообработка: Цементация 0,8–1,2 мм с закалкой (HRC 58–62)
• Модуль зуба: m = 2–4 мм (в зависимости от места установки)
• Количество зубьев: по чертежам завода (типово 20–60 зубьев)
• Класс точности: 8–9 (по ГОСТ 1643-81)
• Направление зубьев: Прямое или косое (по модификации)
• Посадка на вал: с натягом или на шпонке
• Смазка: через систему разбрызгивания масла

Конструкция и особенности
Шестерня выполнена с цилиндрическим зубчатым венцом с прямым или косым зубом для обеспечения плавного зацепления и снижения шума. Зубчатая поверхность подвергается шлифованию или хонингованию после термообработки для достижения требуемого класса точности. Внутреннее отверстие и торцевые поверхности обрабатываются с точностью для обеспечения соосности при установке на вал. Конструкция рассчитана на работу в условиях периодических нагрузок с ударами, характерных для фрезерных операций.

Условия эксплуатации
• Рабочая температура в коробке: до +60°C
• Частота вращения: до 1500 об/мин (в зависимости от ступени)
• Требования к смазке: постоянное присутствие масла в коробке
• Проверка: контроль износа зубьев каждые 6 месяцев
• Особенности: требует замены при износе профиля более 15%

Преимущества
✅ Оригинальная конструкция для станков серии 6Т и 6Р
✅ Цементация и закалка зубьев для износостойкости
✅ Соответствие заводским параметрам плавности хода
✅ Шлифованные зубья для минимального шума
✅ Высокая срок службы при качественной смазке
✅ Гарантия качества 6 мес со дня отгрузки

Примечание
При заказе указывайте модель станка (6Т12 или 6Т13), номер позиции в коробке (если известен) и количество зубьев, либо предоставьте образец или чертеж. Рекомендуется замена шестерен парами (ведущей и ведомой) для сохранения правильного зацепления.","Шестерня коробки фрезерных станков 6Т12, 6Т13 для коробки подач станка 6Т12, z=60, модуль 2","Купить колесо зубчатое для коробки подач фрезерного станка 6Т12. z=60, модуль 2. ТД РУССтанкоСбыт.",7570d3bb-c49f-4152-bbb3-bc87886f737e
"Шкив главного двигателя 1М63.21.053 (для станков 1М63, ДИП300, 16К40)",1,shkiv-glavnogo-dvigatelya-1m63-21-053-dlya-stankov-1m63-dip300-16k40,"Назначение
Шкив 1М63.21.053 предназначен для установки на вал главного электродвигателя и передачи вращения через клиноременную передачу на первый вал коробки скоростей станков моделей 1М63, 1М63Н, ДИП300 и 16К40. Рассчитан на работу с мощными приводами мощностью от 11 до 15 кВт. Проходит обязательную статическую балансировку для исключения вибраций и обеспечения плавности работы всего привода станка.

Технические характеристики
• Артикул: 1М63.21.053
• Материал: Чугун СЧ20 или стальной литой (в зависимости от года выпуска)
• Тип: Со ступицей и посадочным отверстием под вал двигателя
• Диаметр наружный: по чертежу (обычно 200–280 мм)
• Число ручьев: 4, 5 или 6 (по модификации)
• Профиль ручья: под клиновой ремень типа А, Б или В
• Посадка на вал: с натягом или шпоночным пазом
• Балансировка: статическая (класс G6.3 или G2.5)
• Вес: 15–25 кг (в зависимости от исполнения)

Конструкция и особенности
Шкив имеет конструкцию с массивной ступицей для надежной посадки на вал электродвигателя. Рабочая поверхность ручьев обрабатывается с точностью для обеспечения равномерного прилегания ремней. Возможно выполнение с фланцем для крепления защитного кожуха. Ступица может иметь отверстия для облегчения или балансировочные отверстия. Конструкция рассчитана на длительную работу при постоянных нагрузках с кратковременными перегрузками до 150%.

Условия эксплуатации
• Рабочая температура: от -10°C до +60°C
• Частота вращения: до 1500 об/мин (двигатель)
• Требования к ремням: использование клиновых ремней соответствующего профиля
• Балансировка: проверка при каждой смене
• Особенности: требует защитного кожуха по ТБ

Преимущества
✅ Оригинальная конструкция для станков серии 1М63
✅ Статическая балансировка для исключения вибраций
✅ Прочный чугунный или стальной корпус
✅ Точная обработка ручьев для равномерного износа ремней
✅ Высокая надежность при длительной работе
✅ Гарантия качества 6 месяцев со дня отгрузки

Примечание
При заказе указывайте диаметр посадочного отверстия под вал двигателя, число ручьев и тип профиля (А, Б или В). Проверьте состояние вала двигателя на отсутствие волнистости. Рекомендуется замена вместе с ремнями при износе профиля ручьев более 1 мм.","Шкив главного двигателя 1М63.21.053 (для станков 1М63, ДИП300, 16К40)",Купить шкив 1М63.21.053 для привода главного движения токарного станка 1М63 (ДИП-300). ТД РУССтанкоСбыт.,7570d3bb-c49f-4152-bbb3-bc87886f737e
