"name","slug","specs","meta_title","meta_description","compatible_products"
"Колесо зубчатое 1А64.06.404","koleso-zubcatoe-1a64-06-404","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематическом снимке, №"",""value"":""127""},{""key"":""Число зубьев, z"",""value"":""41""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1А64.06.404","Зубчатое колесо с артикулом 1А64.06.404 применяется в токарно-винторезном станке модели 1А64 (аналоги — 164, ДИП-500, ДИП-400), РТ817, РТ117, 1Н65
Эта деталь входит в состав коробки подач станка 1А64.06, где используется в зубчатых передачах для переключения скоростей подач суппорта.
Станок 1А64 предназначен для токарной обработки заготовок массой до 5 тонн в единичном и мелкосерийном производстве, ремонтных и инструментальных цехах.","[{""spare_part_id"":""841ec834-6e30-4b4e-8951-3b2ce307b336""},{""spare_part_id"":""841ec834-6e30-4b4e-8951-3b2ce307b336""},{""spare_part_id"":""841ec834-6e30-4b4e-8951-3b2ce307b336""}]"
"Колесо зубчатое 16М50.70.184","koleso-zubcatoe-16m50-70-184","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""90""},{""key"":""Число зубьев, z"",""value"":""57""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 16М50.70.184","Зубчатое колесо 16М50.70.184 применяется и используется в коробке подач токарных станков моделей ДИП500, 165, 1М65, 1Н65, РТ817, РТ117 при нарезание дюймовых (питьевых) резьб с формированием нужного шага перемещения суппорта, синхронизированного с шагом резьбы на детали. За счет разных комбинаций использования зубчатых колес в коробке подач и гитаре имеется возможность получить весь возможный диапазон резьб.","[{""spare_part_id"":""84e7939f-29ea-48ec-bc7f-85b4d0a10d24""},{""spare_part_id"":""84e7939f-29ea-48ec-bc7f-85b4d0a10d24""},{""spare_part_id"":""84e7939f-29ea-48ec-bc7f-85b4d0a10d24""}]"
"Клин для суппорта и каретки всех типов станков","kljnea-dla-stankov-vseh-tjpov","[{""key"":""Применимость:"",""value"":""Суппорт/Каретка""}]","Клинья для суппорта и каретки всех типов токарной и фрезерной группы ","Клинья для станков токарной и фрезерной группы: суппортов, кареток, вышивания инструмента. Надежная фиксация, и точная регулировка направляющих. В наличии, быстрая поставка. Закажите клинья для бесперебойной работы оборудования.","[{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""},{""spare_part_id"":""857ebc6f-7efd-445e-a7bc-7d85518fb9f8""}]"
"Колесо зубчатое 1М63Б.70.211","koleso-zubcatoe-1m63b-70-211","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""49""},{""key"":""Число зубьев, z"",""value"":""24""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1М63Б.70.211","Колесо зубчатое 1М63Б.70.210  применяется в задней бабке токарно-винторезного станка 1М63 (и его модификаций 1М63Б, 1М63Н, 163).
Эта деталь является частью того же редуктора перемещения задней бабки (группа 70).
 Она входит в кинематическую цепочку, которая передает вращение от маховика на реечное колесо. Обеспечивает необходимое передаточное число, чтобы тяжелая задняя бабка ДИП 300 плавно и без чрезмерных усилий перемещалась по направляющим станины.
Это цилиндрическая прямозубая шестерня. Она работает в закрытом или полуоткрытом корпусе внутри литья задней бабки.



","[{""spare_part_id"":""85b01fef-a135-4308-98ea-2cbc6ca71bf2""},{""spare_part_id"":""85b01fef-a135-4308-98ea-2cbc6ca71bf2""},{""spare_part_id"":""85b01fef-a135-4308-98ea-2cbc6ca71bf2""}]"
"Вал 6М83.3.33К коробки скоростей станка 6М83, 6М13П ","val-6m83-3-33k-korobkj-skorostei-stanka-6m83-6m13p","[{""key"":""Применимость:"",""value"":""Коробка скоростей""}]","Вал 6М83.3.33К коробки скоростей станка 6М83, 6М13П — купить, цена","Продажа вала 6М83.3.33К (узел 3) для тяжелых фрезерных станков 6М83, 6М13П. Изготовление из стали 40Х с закалкой ТВЧ. Гарантия точности ГЗФС. Доставка по РФ","[]"
"Колесо зубчатое 16М50.70.195","koleso-zubcatoe-16m50-70-195","[{""key"":""Применимость: "",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематическом снимке, №"",""value"":""81""},{""key"":""Число зубьев, z"",""value"":""37""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""12""}]","Колесо зубчатое 16М50.70.195","Зубчатое колесо 16М50.70.195 применяется и используется в коробке подач токарных станков моделей ДИП500, 165, 1М65, 1Н65, РТ817, РТ117 при нарезание дюймовых (питьевых) резьб с формированием нужного шага перемещения суппорта, синхронизированного с шагом резьбы на детали. За счет разных комбинаций использования зубчатых колес в коробке подач и гитаре имеется возможность получить весь возможный диапазон резьб.","[{""spare_part_id"":""8731fbce-1faa-4fe9-8a07-edcfd8054a19""},{""spare_part_id"":""8731fbce-1faa-4fe9-8a07-edcfd8054a19""},{""spare_part_id"":""8731fbce-1faa-4fe9-8a07-edcfd8054a19""}]"
"Колесо зубчатое 1М63Б.70.229","koleso-zubcatoe-1m63b-70-229","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""64""},{""key"":""Число зубьев, z"",""value"":""30""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1М63Б.70.229","Колесо зубчатое 1М63Б.70.229 применяется в задней бабке токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н).
Эта деталь относится к группе 70 и входит в состав редуктора перемещения задней бабки по станине:
Является промежуточным звеном в каскаде шестерен, передающих вращение от маховика на реечную шестерню.
Вместе с остальными деталями ряда (которые вы перечисляли ранее) обеспечивает понижение передачи, позволяя оператору перемещать массивную заднюю бабку вручную.
Материал: Сталь 45 или 40Х с закалкой зубьев.","[{""spare_part_id"":""881f2937-ef6e-45c1-af5e-06ba0c604e6c""},{""spare_part_id"":""881f2937-ef6e-45c1-af5e-06ba0c604e6c""},{""spare_part_id"":""881f2937-ef6e-45c1-af5e-06ba0c604e6c""}]"
"Изготовление пиноли для станков — пиноль задней бабки под заказ","jzgotovlenje-pjnolj-dla-stankov-pjnole-zadnei-babkj-pod-zakaz","[]","Изготовление пиноли для станков — пиноль задней бабки под заказ","Изготовление пиноли задней бабки для токарных и других станков по образцу или чертежу. Стандартное и ремонтное исполнение с конусом Морзе MT3–MT6. Единичные и серийные партии. ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 1М63Б.20.185","koleso-zubcatoe-1m63b-20-185","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""16""},{""key"":""Число зубьев, z"",""value"":""42""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""24""}]","Колесо зубчатое 1М63Б.20.185","Колесо зубчатое 1М63Б.20.185 применяется в механизме коробки подач токарно-винторезных станков моделей 1М63Б и 1М63БГ (повышенной мощности). Оно используется для передачи крутящего момента, обеспечивая переключение скоростей подачи и нарезание резьб (метрической, модульной, дюймовой) при обработке деталей. ","[{""spare_part_id"":""893de572-ed30-4f4b-86ed-da31408bb6ce""},{""spare_part_id"":""893de572-ed30-4f4b-86ed-da31408bb6ce""},{""spare_part_id"":""893de572-ed30-4f4b-86ed-da31408bb6ce""}]"
"Колесо коническое FU400R 17.20.302 фрезерный станок","koleso-konjceskoe-fu400r-17-20-302-frezernyi-stanok","{}","Колесо коническое FU400R 17.20.302 фрезерный станок","Коническое колесо FU400R арт. 17.20.302 для консольно-фрезерного станка FU400R. Применяется в механизме передачи движения консоли и стола. ТД РУССтанкоСбыт предлагает запчасть в наличии для ремонта. Закажите с доставкой по России","[]"
"Колесо зубчатое 1М63.61.230","koleso-zubcatoe-1m63-61-230","[{""key"":""Применимость: "",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""110""},{""key"":""Число зубьев, z"",""value"":""23""},{""key"":""Модуль, m"",""value"":""2""},{""key"":""Ширина обода, мм"",""value"":""11""}]","Колесо зубчатое 1М63.61.230","Колесо зубчатое 1М63.61.230 применяется в фартуке токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н), 16К40
Эта деталь относится к группе 61 (фартук) и является важным элементом в приводе автоматических подач:
Назначение: Является промежуточным зубчатым колесом в кинематической цепочке.
Функция: Передает крутящий момент от червячной пары на механизмы включения продольного или поперечного самохода суппорта.
Связь: Работает в паре с вал-колесом 1М63.61.231, о котором вы спрашивали ранее.
Характеристики
Тип: Цилиндрическое прямозубое колесо.
Материал: Сталь 40Х или 45 с обязательной закалкой зубьев (ТВЧ).


","[{""spare_part_id"":""8972f999-79f0-4c75-81a1-12def41ba526""},{""spare_part_id"":""8972f999-79f0-4c75-81a1-12def41ba526""},{""spare_part_id"":""8972f999-79f0-4c75-81a1-12def41ba526""},{""spare_part_id"":""8972f999-79f0-4c75-81a1-12def41ba526""}]"
"Вал 16К40.51.153","val-16k40-51-153","[{""key"":""Применимость:"",""value"":""Станина, коробка подач""}]","Вал 16К40.51.153","Вал 16К40.51.153 применяется в токарно-винторезном станке модели 16К40 (аналоги 16К40Ф101).
Эта деталь входит в состав станины или коробки подач (группа 51), используется как промежуточный вал зубчатой передачи для передачи движения от главной передачи к механизмам суппорта при регулировке скоростей подач.

Станок 16К40 предназначен для токарной обработки заготовок диаметром до 800 мм и массой до 3500 кг в единичном и мелкосерийном производстве машиностроения.
​
","[{""spare_part_id"":""8a84ad5c-61e5-4b22-8c20-70227c65f114""}]"
"Вал фрикционный 1М63Н.20.900","val-frjkcjonnyi-1m63n-20-900","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Исполнение, щлицов"",""value"":""6 или 8""}]","Фрикционный вал 1М63Н.20.900 ( 6-ти, 8-ми шлицевые) для станков моделей 1М63, 1М63Н, 1М63БФ101, 16К40, 16Р40","Фрикционный вал 1М63Н.20.900 (1М63.21.391 или 1М63.02.341СБ) — ключевой узел фрикционной муфты в шпиндельной бабке токарно-винторезного станка 1М63Н (аналоги: 1М63, ДИП-300). Вал передает вращательный момент от клиноременного привода к коробке скоростей, обеспечивая прямой/обратный ход шпинделя (25–1600 об/мин, 24 ступени) и холостой ход. Две соосные многодисковые муфты управляют направлением вращения без остановки станка.
Имеет разное исполнение по шлицам	6 или 8 (рязанские/тбилисские заводы) 
Диаметр шпинделя	Ø65–80 мм 
Мощность привода	До 15 кВт 
Масса в сборе	~20–30 кг 
","[{""spare_part_id"":""8afb05ab-b732-48b2-bb6a-7fd9e3f0037d""},{""spare_part_id"":""8afb05ab-b732-48b2-bb6a-7fd9e3f0037d""},{""spare_part_id"":""8afb05ab-b732-48b2-bb6a-7fd9e3f0037d""}]"
"Колесо зубчатое 1Н65.71.156","koleso-zubcatoe-1n65-71-156","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""114""},{""key"":""Число зубьев, z"",""value"":""51""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1Н65.71.156","Зубчатое колесо с артикулом 1Н65.71.156 применяется в токарно-винторезном станке модели 1Н65, РТ117, РТ817
Эта деталь входит в состав механизма шпиндельной бабки или редуктора станка 1Н65, где используется в зубчатых передачах для регулировки оборотов шпинделя.
Станок 1Н65 предназначен для токарной обработки крупных заготовок диаметром до 1000 мм над станиной и массой до 10 тонн, включая точение конусов и нарезку различных типов резьбы в серийном и ремонтном производстве","[{""spare_part_id"":""8be22da9-0bf6-407c-aa9c-623991d02b06""},{""spare_part_id"":""8be22da9-0bf6-407c-aa9c-623991d02b06""},{""spare_part_id"":""8be22da9-0bf6-407c-aa9c-623991d02b06""}]"
"Колесо зубчатое 1Н65.60.176/1","koleso-zubcatoe-1n65-60-176-1","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематическом снимке, №"",""value"":""125""},{""key"":""Число зубьев, z"",""value"":""53""},{""key"":""Модуль, m"",""value"":""3,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1Н65.60.176/1","Зубчатое колесо с артикулом 1Н65.60.176/1 применяется в токарно-винторезном станке модели 1Н65, Рт117, РТ817
Эта деталь входит в состав фартука или механизма подач станка 1Н65.60, где используется в зубчатых передачах для регулировки скоростей перемещения суппорта.
Станок 1Н65 предназначен для токарной обработки крупных заготовок диаметром до 1000 мм над станиной и массой до 10 тонн, включая точение конусов и нарезку различных типов резьбы в серийном и ремонтном производстве.","[{""spare_part_id"":""8ce9f86c-dea9-4bfb-8c6f-e8bf785648af""},{""spare_part_id"":""8ce9f86c-dea9-4bfb-8c6f-e8bf785648af""},{""spare_part_id"":""8ce9f86c-dea9-4bfb-8c6f-e8bf785648af""}]"
"Колесо зубчатое 1Н65.30.157","koleso-zubcatoe-1n65-30-157","[{""key"":""Применимость:"",""value"":""Бабка задняя ""},{""key"":""Позиция на кинематической схеме, №"",""value"":""156""},{""key"":""Число зубьев, z"",""value"":""32""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""15""}]","Колесо зубчатое 1Н65.30.157","Колесо зубчатое 1Н65.30.157 применяется в токарно-винторезном станке модели 1Н65, РТ817, РТ117 в основном в механизмах задней бабки или коробке подач
Эта деталь входит в состав зубчатой передачи задней бабки (аналогично червячному колесу 165.03.033 из станка 165), обеспечивая вращение пиноли для сверления, развальцовки и точения конусов. Число зубьев Z и модуль m соответствуют каталогу запчастей станка 1Н65 
Станок 1Н65 используется для токарной обработки заготовок массой до 10 тонн и диаметром до 1000 мм в серийном, мелкосерийном и ремонтном производстве.
​","[{""spare_part_id"":""8d241016-f8a6-45ad-98bd-846275a8df01""},{""spare_part_id"":""8d241016-f8a6-45ad-98bd-846275a8df01""},{""spare_part_id"":""8d241016-f8a6-45ad-98bd-846275a8df01""}]"
"Вал-колесо зубчатое 1М63Б.70.240","val-koleso-zubcatoe-1m63b-70-240","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""66 ""},{""key"":""Число зубьев, z"",""value"":""21""},{""key"":""Модуль, m"",""value"":""2,25""},{""key"":""Ширина обода, мм"",""value"":""17""}]","Вал-колесо зубчатое 1М63Б.70.240","Вал-колесо 1М63Б.70.240 применяется в задней бабке токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н).
Эта деталь является финальным (выходным) звеном редуктора перемещения задней бабки (группа 70), который вы так подробно разбирали:
Представляет собой вал, на одном конце которого нарезаны зубья (собственно шестерня).
Функция (Реечная шестерня): Именно это вал-колесо входит в прямое зацепление с зубчатой рейкой, закрепленной на станине станка.
 Преобразует вращательный момент, прошедший через весь каскад промежуточных шестерен (от .210 до .232), в поступательное перемещение всей задней бабки вдоль станины.
Это самая нагруженная деталь редуктора, так как она принимает на себя основное сопротивление трения при движении бабки. Часто страдает от сколов и «съедания» зубьев из-за попадания стружки в рейку.
Материал: Изготавливается из стали 40Х или 45 с глубокой закалкой (ТВЧ) зубчатой части.



","[{""spare_part_id"":""8d990ef9-5b38-400d-8d59-e6d4c5ff55e3""},{""spare_part_id"":""8d990ef9-5b38-400d-8d59-e6d4c5ff55e3""},{""spare_part_id"":""8d990ef9-5b38-400d-8d59-e6d4c5ff55e3""}]"
"Вал 1А64.06.242","val-1a64-06-242","[{""key"":""Применимость: "",""value"":""Коробка подач""}]","Вал 1А64.06.242","Вал 1А64.06.242 применяется в токарно-винторезном станке модели 1А64 (аналоги 165, 1М65, 1Н65)РТ817, РТ117
​
Эта деталь входит в состав коробки подач (группа 06), используется как промежуточный вал с зубчатыми колесами для передачи вращения от коробки скоростей к механизмам суппорта при регулировке подач и нарезании резьбы.
Станок 1А64 предназначен для токарной обработки заготовок массой до 5 тонн, диаметром до 640 мм в единичном и мелкосерийном производстве.
​
","[{""spare_part_id"":""8ddc07c4-0075-4a88-9833-4606267ed436""},{""spare_part_id"":""8ddc07c4-0075-4a88-9833-4606267ed436""}]"
"Колесо зубчатое 1Н65.60.164","koleso-zubcatoe-1n65-60-164","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""144""},{""key"":""Число зубьев, z"",""value"":""21""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""13""}]","Колесо зубчатое 1Н65.60.164","Зубчатое колесо с артикулом 1Н65.60.164 применяется в токарно-винторезном станке модели 1Н65, РТ117, РТ817 
Эта деталь входит в состав фартука или механизма подач станка 1Н65.60, где используется в зубчатых передачах для регулировки скоростей перемещения суппорта.
Станок 1Н65 предназначен для токарной обработки крупных заготовок диаметром до 1000 мм над станиной и массой до 10 тонн, включая точение конусов и нарезку различных типов резьбы в серийном и ремонтном производстве","[{""spare_part_id"":""8e6c3985-a8b1-46ca-acd7-c04fb0237dbf""},{""spare_part_id"":""8e6c3985-a8b1-46ca-acd7-c04fb0237dbf""},{""spare_part_id"":""8e6c3985-a8b1-46ca-acd7-c04fb0237dbf""}]"
"Колесо зубчатое 1А64.07.289","koleso-zubcatoe-1a64-07-289","[{""key"":""Применимость: "",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""42""},{""key"":""Число зубьев, z"",""value"":""36""},{""key"":""Модуль, m"",""value"":""2,5""},{""key"":""Ширина обода, мм"",""value"":""16""}]","Колесо зубчатое 1А64.07.289","Колесо зубчатое  1А64.07.289 применяется в коробке подач токарно-винторезного станка модели 1А64 (а также 164 и ДИП 400), 1Н65, РТ117, РТ817.
Работает в паре с шестерней 1А64.07.288  или аналогичными колесами на соседних валах, обеспечивая изменение скоростей перемещения суппорта.
 ","[{""spare_part_id"":""8e70f31e-cbd2-425e-b153-bdc8e3f60ba6""},{""spare_part_id"":""8e70f31e-cbd2-425e-b153-bdc8e3f60ba6""},{""spare_part_id"":""8e70f31e-cbd2-425e-b153-bdc8e3f60ba6""}]"
"Вал 1Н65.71.179","val-1n65-71-179","[{""key"":""Применимость:"",""value"":""Коробка подач c питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B18""}]","Вал 1Н65.71.179","Вал 1Н65.71.179 применяется в токарно-винторезном станке модели 1Н65 (аналоги 1М65, 165, 1А64), РТ117, РТ817

Конкретное назначение
Эта деталь входит в состав электрического оборудования или фартука (группа 71), используется как промежуточный вал для передачи движения в механизмах управления подачей или быстрым перемещением суппорта.

Станок 1Н65 предназначен для токарной обработки заготовок массой до 10 тонн и диаметром до 1000 мм в серийном и ремонтном производстве.
","[{""spare_part_id"":""8f232428-4218-4f7c-ab3b-49f17eab2ab7""},{""spare_part_id"":""8f232428-4218-4f7c-ab3b-49f17eab2ab7""},{""spare_part_id"":""8f232428-4218-4f7c-ab3b-49f17eab2ab7""}]"
"Валик 1М63.21.173","valjk-1m63-21-173","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка ""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В9""}]","Валик 1М63.21.173","Валик 1М63.21.173 применяется в узле ускоренных перемещений суппорта (группа 21) токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (1М63Б, 1М63Н).
Эта деталь является частью вспомогательного привода («быстрого хода»), расположенного в правой части станины (обычно в районе правой опоры ходового вала и винта):
Служит промежуточной опорой (осью) в каскаде передач привода ускоренного хода.
На этот валик устанавливаются промежуточные шестерни, которые передают вращение от отдельного электродвигателя быстрого хода на ходовой вал станка.
Работает в единой кинематической цепочке с другими валами и валиками 21-й группы (233, .236, .391, .394).
Материал: Сталь 45 или 40Х. Посадочные места под подшипники и шпоночные пазы (или шлицы) проходят термическую обработку и шлифовку.
Обеспечение надежной передачи высокого крутящего момента для быстрого перемещения суппорта (подвод и отвод инструмента).


","[{""spare_part_id"":""8f718666-d833-4090-802c-ee532f754f2d""},{""spare_part_id"":""8f718666-d833-4090-802c-ee532f754f2d""},{""spare_part_id"":""8f718666-d833-4090-802c-ee532f754f2d""},{""spare_part_id"":""8f718666-d833-4090-802c-ee532f754f2d""}]"
"Колесо зубчатое 1А64.02.842","koleso-zubcatoe-1a64-02-842","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""4""},{""key"":""Число зубьев, z"",""value"":""54""},{""key"":""Модуль, m"",""value"":""3,5""},{""key"":""Ширина обода, "",""value"":""25""}]","Колесо зубчатое 1А64.02.842","Зубчатое колесо  1А64.02.842 (иногда встречается под маркировкой 164.02.842) является важным элементом кинематической схемы тяжелых токарно-винторезных станков. Данная деталь устанавливается в бабке шпиндельной (коробке скоростей) следующих станков: 1А64 (широко известный как ДИП 400).164 (предыдущие модификации этой серии). Место в узле и назначение Это зубчатое колесо находится на IV оси (четвертом валу) коробки скоростей. Его основные функции: Формирование скоростных рядов: Оно участвует в передаче вращения от входных валов к шпинделю, обеспечивая определенный диапазон оборотов.Работа под нагрузкой: Поскольку это одна из промежуточных ступеней ближе к конечному звенью (шпинделю), колесо рассчитано на передачу значительного крутящего момента. Технические параметры (справочно): Количество зубьев (\(z\)): 46.Модуль (\(m\)): 5.1 Как правило, это деталь с прямым зубом, прошедшая термообработку (закалку) для повышения износостойкости. ","[{""spare_part_id"":""9052c64f-8fd7-41ad-a38e-089955a97c1c""},{""spare_part_id"":""9052c64f-8fd7-41ad-a38e-089955a97c1c""},{""spare_part_id"":""9052c64f-8fd7-41ad-a38e-089955a97c1c""}]"
"Вал 16М50.70.168","val-16m50-70-168","[{""key"":""Применимость:"",""value"":""Коробка подач с питчевыми резьбами""},{""key"":""Позиция на кинематической схеме, №"",""value"":""B19""}]","Вал 16М50.70.168","Вал 16М50.70.168 применяется в токарно-винторезном станке модели 16М50 (тяжелый класс, аналоги 16К50), 1Н65, РТ117, РТ817

Конкретное назначение
Эта деталь входит в состав электрического оборудования или фартука (группа 70), используется как промежуточный вал для передачи движения в механизмах управления подачей суппорта или быстрым перемещением.

Станок 16М50 предназначен для токарной обработки заготовок массой до 20 тонн и диаметром до 1600 мм в серийном и ремонтном производстве.
","[{""spare_part_id"":""910b985c-600b-4ee0-b577-a125a78e1c41""},{""spare_part_id"":""910b985c-600b-4ee0-b577-a125a78e1c41""},{""spare_part_id"":""910b985c-600b-4ee0-b577-a125a78e1c41""}]"
"Вал 1М63.61.162","val-1m63-61-162","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В24""}]","Вал 1М63.61.162","Вал 1М63.61.162 применяется в фартуке токарно-винторезного станка 1М63 (ДИП 300) и его модификаций (163, 1М63Б, 1М63Н).
Эта деталь относится к группе 61 (или 06/60) и является одним из промежуточных валов в системе автоматических подач суппорта:
 Служит опорой для установки шестерен редуктора фартука (например, 1М63.61.164 и .165, которые вы запрашивали ранее).
 Участвует в передаче крутящего момента от червячной пары на выходные механизмы, обеспечивающие продольный или поперечный самоход.
Работает в едином каскаде с валами этой группы, формируя кинематическую цепь рабочих подач инструмента.
Конструкция: Вал со шпоночными пазами (или шлицами) и прецизионно шлифованными шейками под подшипники качения.
Материал: Сталь 40Х или 45 с термообработкой (улучшение и закалка посадочных мест).

","[{""spare_part_id"":""91816f05-bb3a-4d37-845f-86bdd16cb2e5""},{""spare_part_id"":""91816f05-bb3a-4d37-845f-86bdd16cb2e5""},{""spare_part_id"":""91816f05-bb3a-4d37-845f-86bdd16cb2e5""},{""spare_part_id"":""91816f05-bb3a-4d37-845f-86bdd16cb2e5""}]"
"Рейка 1М64.11.152","reika-1m64-11-152","[{""key"":""Применимость:"",""value"":""Станина""},{""key"":""Позиция на кинематической схеме, № "",""value"":""147""},{""key"":""Длина рейки, мм"",""value"":""793""},{""key"":""Модуль, m"",""value"":""5""}]","Рейка 1М64.11.152","Рейка с артикулом 1М64.11.152 применяется в токарно-винторезных станках моделей 1М64, 1М65, 1Н65, ДИП-500, 165 (длина обычно 800 мм), РТ117, Рт817
Эта зубчатая рейка устанавливается на станину станка и взаимодействует с шестерней фартука для преобразования вращательного движения вала в поступательное движение суппорта при продольной подаче.
Такие станки предназначены для токарной обработки заготовок среднего и крупного размера (диаметром до 630-1000 мм) в серийном, мелкосерийном и ремонтном производстве.","[{""spare_part_id"":""919cc2d2-4e64-47fc-afd7-432a173c253e""},{""spare_part_id"":""919cc2d2-4e64-47fc-afd7-432a173c253e""},{""spare_part_id"":""919cc2d2-4e64-47fc-afd7-432a173c253e""}]"
"Колесо зубчатое 1М63.06.253","koleso-zubcatoe-1m63-06-253","[{""key"":""Применимость: "",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""97""},{""key"":""Число зубьев, z"",""value"":""24""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""28""}]","Колесо зубчатое 1М63.06.253","Колесо зубчатое 1М63.06.253 применяется в фартуке токарно-винторезных станков серии 1М63 (ДИП 300), а также в их модификациях (163, 1М63Б, 1М63Н). Эта деталь относится к группе 06 (или 60/61 по новым каталогам) и является важным звеном кинематики подач:
Участвует в передаче крутящего момента внутри фартука для реализации автоматического перемещения суппорта.
Обеспечивает передачу движения от червячной пары на выходные валы, отвечающие за продольную (вдоль станины) или поперечную подачу инструмента.
Связь: Работает в каскаде с другими шестернями этой группы (например, 1М63.06.259 или .153), формируя необходимые передаточные числа для рабочих режимов точения.
Тип: Цилиндрическое прямозубое колесо.
Материал: Конструкционная легированная сталь (обычно 40Х) с последующей термообработкой (закалкой ТВЧ) зубьев для защиты от износа.
Колесо зубчатое 1М63.06.253 работает в закрытом корпусе фартука в условиях постоянной масляной смазки.


","[{""spare_part_id"":""91a5adfd-1cf5-410f-b699-86e07ea81c52""},{""spare_part_id"":""91a5adfd-1cf5-410f-b699-86e07ea81c52""},{""spare_part_id"":""91a5adfd-1cf5-410f-b699-86e07ea81c52""}]"
